,start_time,end_time,Egyptian_Text
0,5.989,7.539,ازيك عامله ايه
1,14.18,21.549,تمام الحمدلله قبل اي حاجه حابه اني ارحب بوجودك اليوم مبسوطين جدا اني انت معانا النهارده
2,22.129,33.49,و هتكلمينا عن موضوع مهم جدا عن العلاقات ال الاسريه و ازاي اثرت اه ازاي الانترنت اثر اه عليها بشكل كبير جدا في حياتنا
3,72.949,80.68,ده حقيقي للاسف ما بقاش في لمه زي الاول ما بقاش كلنا نتجمع و نقعد مع بعض و نحكي زي زمان
4,116.029,119.349,ده حقيقي اه للاسف الانترنت اتحك
5,120.778,121.989,بشكل كبير جدا
6,168.889,170.259,للاسف فعلا
7,171.229,186.52,للاسف دلوقتي كمان اه تلاقي اه كل واحد يصحي من النوم الصبح يمسك التلفون يصور الاكل اللي بياكله يصور المكان اللي رايحه يصور اللبس اللي بيلبسه كمان بقي الموضوع زاد عن حده جدا
8,224.119,236.139,للاسف فعلا كلامك صح طيب انا عايزه اسالك سؤال اي في موضوع مهم ايضا يعني حابه نتكلم فيه اني دلوقتي ال الزوجه حابه انها تعرف كل شيء عن جوزها
9,237.11,248.41,حابه تدخل في خصوصياته حابه تمسك التلفون بتاعه تعرف بيكلم مين بيقابل مين الكلام ده كله يعني كلمينا عن الموضوع ده بطريقه اوضح من فضلك
10,311.779,326.409,للاسف عندك حق برضه الد ال الزوج ممكن يفتش اه برضه في تلفون مراته بيحصل يعني مش الزوجه بس هي اللي بتفتش في تلفون جوزها لا الزوج ايضا بيفتش اه بتلفون مراته
11,380.12,380.92,ترابط
12,381.379,392.049,اسري اكثر يعني طيب دكتوره انا برضه بقترح اقتراح ممكن انه نحن نعمله يعني انا عارفه انه احنا صعب جدا من يوم و ليله كده نحاول نقلل السوشال ميديا
13,393.049,410.47,ف ممكن نحن نبدا بالخطوات دي في تاتي نفعا ولو يوم في الاسبوع اه العيله كلها تتجمع ومحدش يمسك تلفونه خالص فبالتالي احنا عارفين ان اليوم ده هنتجمع كلنا مع بعض وهنقعد كلنا مع بعض وهنبعد عن التلفون و ما نصورش بقي لا اكل ولا شرب ولا اي حاجه من الكلام ده خالص
14,434.42,443.154,ده حقيقي للاسف فعلا ديلوقت الطفل من هو اربع سنين اه تلاقيه ماسك ال التلفون بتاعه او التابلت وقاعد مندمج جدا
