,Unnamed: 0,saudi-line
0,0,اش اش الهرجه انت تدري اش كثر اعزك ومن اكون مشغوله مو معنهي اني زعلانه منك او شيء بس ساعات ننشغل مو اكثر اعتذر منك اعتذر منك اخي ان كان كلامي ازعجك والنعـم بالحضارم علي الراس والله ا لمايتخاصمو قدامي اجلس مزهريه بينهم ماادري اش الهرجه اتحفونا بلهجتكم ولامره كانت من ردات فعلي البكي حتي نسيت شلون ابكي مهزله وتربيه ساقطه لما يشجع بنته ع الرقص قدام الملا بالله اش استفاد جاهله ماتدري غشوها من ربوها من حالهم
1,1,اش رايك تنزله الحين بما ان جمهورك كلهم متجمعين ايش وانت ايش دخلك يا انقلع من هنا هذا بين الاخوه انت ايش حشرك بيننا يا ابن الحر ما تذكر الحرايم الا الحريم من امثلك يمكن عملو في بخ طيب ايش فيها والله فيها كل الخير مادري والله احسن من المسلسلات الي يتابعونه قله ادب قناه محافظه بس هم غيرانين لانه القناه الفخمه والمزه من قهري والله كل واحد يسب وانا ارد ع كل واحد تعبت قسم
2,2,انت الحين حافظ علي الصلاه بعدين تعال تكلم في الشرع ايش حلل وماحلل الي مايعرف ايش هي المتلازمه هي خلل عصبي يسبب حركات لا اراديه ومعاها اصوات متكرره طيب ليش لما بدا يغني ماصارت تطلع ذي الاصوات ابغي اوريكم ايش يصيرلي لما اغني تحت هذه التغريده راح اوضح ايش ممكن يسويه المخترق اذا اخذ صوره لبطاقتك الشخصيه او جواز سفرك اصلن انت شفت الدوري قبل متشوف الاهلي اخد الدوري مسوي زعلانين من كنتو تتفرجون علي ايش
3,3,اكتب اصلا زين ثم اهرج لو احد يسالني تربيتي ع ايش بقول ع ايش الغلط في كلام هذي الحقيقه ه تبغي صغير غصبن عنك يا طحلبي رايكم اش رايكم ياجماعه نتاهل معاهم ولا لا لعيبه المنتخب لاتفشلونا لقطه بالجوال حسيتها ابداع من غابه رايكم يا جماعه ياجماعه وش رايكم اتهور واتابعه ايش رايكم ياجماعه بالرجال هذا يا بنت انا ما همني وش يقولون
4,4,دامي قنوع ابحتفظ بالقناعه انا وسيم وقالوا الناس مزيون ماهو برايي رايكم يا جماعه انشهد وانا اخوك بس تكفون ياجماعه عطوني رايكم بهذا المقطع يا جماعه ابي رايكم شوي معزوم علي عشي و محتار البس اي ساعه فيهم الي ع اليمين او اليسار جرب فيه احد ماعاد فيه احد يقدر يقول كلمه حق في لاننا راح نتهمه بانه من خلايا اصلا كلمه الحق مو طعمه ليه نقولها يع مع اني م قد زرتها ولا اعرف احد فيها بس احبها كثيير من يوم كنت صغيره مو تعجبني بس الحين لو يجي احد وتدخل في نظامنا ما نرضي بس عادي نتدخل في الدول الثانيه انتم تخلون شعوب العالم تكرهنا بتفكيركم وهم حلال عليهم يتدخلون فينا حبيبي هم تدخلوا وخسروا وانشاء الله يرجع كيدهم لهم في احد وتم احد مر مافي احد مرعليه زي كده اما انا اكثر من مره بين وبيكم
5,5,احس لو حطوني في هالمهمه بيجي يوم وانسي اسجل ولا اتعيجز معقوله ما مر عليهم احد مثلي ما اقصد السجل التاريخي اقصد الحساب نفسه من شهور وسنوات فهمتي مو تاريخ مكتوب ياربي فهمتي وش اقصد معرف اشرح لا لان فيه ناس تكون هذي شغلتهم طول حياتهم واذا ماتوا يجون ثانين بدالهم تسجيل التاريخ شيء مهم مستحيل يفرطون فيه ماطاحوا في شخص مثلك
6,6,شدراك والله يمكن صارت الحين معقوله حساباتنا للتاريخ صحيحه معقوله ما فيه فتره احد نسي يسجل التاريخ او ضاع التاريخ احد يفتينا هل الخروف يضحي بعد هالعذاب اللي مر فيه سالفتنا اليوم وش اغرب شرط مر عليك سواء شرط زواج او احد استاجرتوا منه شي و كانت الشروط غريبه او اي شرط حسيت انه غريب استاجرت شقه في قبل كم سنه وشرط علي صاحب الشقه كل ليله يبات هو اخوه بالصاله والصباح يمشي امحق شقه صار يفتح الباب لنا ويقول ماجبتو عشي مافيه احد في البشر سوا بي سواتك
7,7,اسمك اذا مر بين الناس يربكني مريض عنده عين حولا كان مصر انها بسبب عين من احد الاشخاص اليوم مر العياده وعينه سليمه سالته سويت عمليه قال لا بس اللي كان صاكني عين مات وين تنصحني اروح وين تراجع حاليا حاليا قاعد احاول اقطع شوي شوي بس المشكله
8,8,هي طاقه وحده مليانه بمشاعر كثيره طلعتها بشخص واحد اذا راح مهما تعرفت وصادقت ماتقدر ترجع هذاالشعور لان صاحبها راح بدون رجعه سرق كل شي احد مر عليه هالمشكله الان بنفس بنفس اليوم احس المتعه انك تاخذ اجازه و تسافر بنفس الوقت الي يرجعون فيه الطلاب للمدرسه حابه
9,9,عشان العيد قرب حابه اقولكم عسي ربي يجعل عيونكم ماتشوفون الا السعاده وعسي ضحكتكم م تفارق شفايفكم وعسئ الجنه داري وداركم قولو بنحاول نفتح شعبه اللي حابه تسجل فيها تكلمني حابه اقول لكم فاتك فاتك فاتك فاتك حابه اسلم علي خالي واسلم علي صديقتي واسلم علي الوالده نايمه جنبي تشخر حابه تحتفلين بمناسبه خاصه وتكون مميزه جدا حابه اعتذر لنفسي لاني تعرفت علي ناس زباله ما غير يضيعون وقتي ويسوون لي مشاكل وهم ونكد
