English Text,Modern Standard Arabic (MSA) Translation,Dialect Translation,Context and Rating,Dialect Notes,In-Game Context
Rev up your engines! Today's race takes you through the ancient trade routes of Najd. Watch out for holographic sandstorms and camel caravans!,شغلوا محركاتكم! سباق اليوم يأخذكم عبر طرق التجارة القديمة في نجد. احذروا العواصف الرملية والقوافل التجارية المجسمة ثلاثية الأبعاد!,قوّوا مكاينكم! سباق اليوم بياخذكم على دروب التجارة القديمة في نجد. انتبهوا من العواصف الرملية وقوافل الإبل المجسمة!,"This dialogue combines traditional settings with futuristic technology. ""مكاين"" is used for engines in Najdi.","""بياخذكم"" is used for ""takes you"", and ""دروب"" for ""routes""",Player participating in a high-tech desert race with historical elements.
"You're trapped on the 300th floor of Jeddah Tower. Solve the puzzles to unlock the express elevator before the sandstorm hits. Remember, in emergencies, even jinn take the stairs!",أنت محاصر في الطابق الثلاثمائة من برج جدة. حل الألغاز لفتح المصعد السريع قبل أن تضرب العاصفة الرملية. تذكر، في حالات الطوارئ، حتى الجن يستخدمون السلالم!,انت محبوس في الدور الـ300 من برج جدة. حل الألغاز عشان تفتح المصعد السريع قبل ما تضرب العاصفة. افتكر، وقت الطوارئ، حتى الجن بينزلوا من على الدرج!,This dialogue mixes modern architecture with traditional supernatural elements.,"""محبوس"" is used for ""trapped"", and ""بينزلوا"" for ""they take""",Player solving puzzles to escape from a futuristic skyscraper during a sandstorm.
"Grandpa says, 'A well-built dhow can weather any storm.' Let's choose the right wood, shape the hull, and weave the sail. One day, you'll sail your own dhow to the pearl banks!",يقول جدي: 'السفينة المبنية جيدًا يمكنها مواجهة أي عاصفة.' دعونا نختار الخشب المناسب، ونشكل بدن السفينة، ونحيك الشراع. يومًا ما، ستبحر بسفينتك الخاصة إلى مغاصات اللؤلؤ!,جدي يقول: 'البوم المضبوط يقدر يواجه أي نوة.' يلا نختار الخشب الزين، ونسوي هيكل البوم، ونخيط الشراع. بكرة بتبحر ببومك على هيرات اللولو!,"This dialogue teaches traditional boat-building techniques. ""بوم"" is used for dhow, and ""هيرات"" for pearl banks in Eastern dialect.","""مضبوط"" is used for ""well-built"", and ""نوة"" for storm",Player learning to build a traditional dhow boat.
The rains are coming early this year. We need to reinforce the terraces and plant drought-resistant crops. Our ancestors have farmed these mountains for centuries - we'll adapt and survive too.,الأمطار تأتي مبكرًا هذا العام. نحتاج إلى تقوية المدرجات وزراعة محاصيل مقاومة للجفاف. زرع أجدادنا في هذه الجبال لقرون - سنتكيف ونبقى أيضًا.,المطر جاي بدري السنة. لازم نقوي المساطب ونزرع محاصيل تتحمل الجفاف. جدودنا زرعوا في الجبال هذي مئات السنين - حنا بعد بنتأقلم ونعيش.,This dialogue addresses climate change adaptation in traditional farming.,"""مساطب"" is used for terraces, and ""بنتأقلم"" for ""we'll adapt""",Player managing a traditional mountain farm facing climate challenges.
"Welcome to the Royal Camel Beauty Pageant! Judge the camels on their elegant humps, fluttering eyelashes, and graceful strut. But watch out - some owners might try to use hump enhancers or eyelash extensions!",مرحبًا بكم في مسابقة جمال الإبل الملكية! احكموا على الجمال بناءً على سنامها الأنيق، ورموشها المتطايرة، ومشيتها الرشيقة. ولكن احذروا - قد يحاول بعض الملاك استخدام محسنات السنام أو رموش اصطناعية!,حياكم في مسابقة زين الهجن الملكية! حكموا على الهجن من ناحية الغوارب الحلوة، والرموش الطويلة، والمشية الزينة. بس انتبهوا - بعض الملاك يمكن يحاولون يستخدمون منفخات غوارب ولا رموش صناعية!,"This humorous dialogue plays on traditional camel beauty contests with a modern twist. ""هجن"" is used for camels in Najdi.","""زين"" is used for beauty, and ""غوارب"" for humps",Player judging a humorous camel beauty contest.
The coral reefs are dying due to rising sea temperatures. We'll use our underwater drones to plant heat-resistant coral polyps. It's a race against time - every polyp counts in restoring our marine ecosystem.,الشعاب المرجانية تموت بسبب ارتفاع درجة حرارة البحر. سنستخدم طائراتنا المسيرة تحت الماء لزراعة سليلات المرجان المقاومة للحرارة. إنه سباق مع الزمن - كل سليلة مهمة في استعادة نظامنا البيئي البحري.,الشعاب بتموت بسبب حرارة البحر العالية. حنستخدم الدرونات تحت المية عشان نزرع بوليبات مرجان تتحمل الحرارة. دي سباق ضد الوقت - كل بوليب مهم في إعادة النظام البيئي البحري.,This dialogue focuses on marine conservation efforts.,"""بتموت"" is used for ""dying"", and ""دي"" for ""it's""",Player managing an underwater conservation project to save coral reefs.
"Welcome to Al-Khobar's new AI traffic system! Route the flying cars, hyperloop pods, and good old-fashioned buses to their destinations. Don't forget to keep the camel crossing clear - tradition meets innovation!",مرحبًا بكم في نظام المرور الذكي الجديد في الخبر! قم بتوجيه السيارات الطائرة، وكبسولات الهايبرلوب، والحافلات التقليدية إلى وجهاتها. لا تنس الحفاظ على معبر الجمال خاليًا - التقليد يلتقي بالابتكار!,مرحبتين بنظام المرور الذكي الجديد في الخبر! وجه السيارات الطيارة، وكبسولات الهايبرلوب، والباصات العادية لوجهاتها. لا تنسى تخلي معبر الجمال فاضي - القديم يتلاقى ويا الجديد!,This dialogue blends futuristic technology with traditional elements.,"""مرحبتين"" is a welcoming expression, and ""ويا"" means ""with""",Player managing a futuristic traffic system that includes traditional elements.
"The bees have made their hives high up in the mountain cliffs. We'll use our ancestors' rope climbing techniques to reach them. Remember, smoke the bees gently - we're their guests in this ancient dance of harvesting.",صنعت النحل خلاياها عاليًا في جروف الجبال. سنستخدم تقنيات التسلق بالحبال التي استخدمها أجدادنا للوصول إليها. تذكر، دخن النحل برفق - نحن ضيوف في هذه الرقصة القديمة للحصاد.,النحل سوى بيوته فوق في صخور الجبال. بنستخدم طرق التسلق بالحبال حقت جدودنا عشان نوصلها. افتكر، دخن النحل بشويش - حنا ضيوف في الرقصة القديمة ذي حق الجني.,This dialogue combines traditional beekeeping with adventure.,"""سوى"" is used for ""made"", and ""حق"" for ""of""",Player harvesting honey using traditional methods in mountainous terrain.
"Welcome to the Kingdom's first Virtual Falconry Championship! Train your holographic falcon, upgrade its speed and agility, and compete against falconers from around the world. May the best digital bird win!",مرحبًا بكم في بطولة الصقور الافتراضية الأولى في المملكة! درب صقرك المجسم، وطور سرعته ومرونته، وتنافس مع الصقارين من جميع أنحاء العالم. فلتفز أفضل طائر رقمي!,حياكم في أول بطولة صقور افتراضية في المملكة! درب صقرك الرقمي، وسوّي ترقيات لسرعته ومهارته، وتنافس مع الصقارين من كل أنحاء العالم. فوز أفضل طائر رقمي!,This dialogue blends traditional falconry with virtual technology.,"""صقور"" is used for falcons, and ""رقمي"" for digital",Player training and competing in a virtual falconry tournament.
"Experience the spiritual journey of Hajj from your home. Navigate the rituals, manage the crowd, and ensure everyone's safety. This sacred pilgrimage is both a test of faith and a logistical challenge.",عِش تجربة رحلة الحج الروحية من منزلك. قم بإدارة الطقوس، وتوجيه الحشود، وضمان سلامة الجميع. هذه الرحلة المقدسة هي اختبار للإيمان وتحدٍ لوجستي في آن واحد.,جرب رحلة الحج الروحية من بيتك. نظم الطقوس، وإدير الحشود، وضمان سلامة الكل. الحج تجربة مقدسة وتحدي لوجستي بنفس الوقت.,"This dialogue simulates the Hajj pilgrimage, focusing on both spiritual and logistical aspects.","""عِش"" is used for ""experience"", and ""تنظم"" for ""manage""",Player managing and experiencing the Hajj pilgrimage simulation.
